region_id,make,model,year,registration_count,year_recorded
1,Toyota,Highlander,2012,2067,2023
1,Toyota,Highlander,2023,13852,2023
1,Toyota,Highlander,2014,8122,2018
1,Toyota,Highlander,2014,6783,2019
1,Toyota,Highlander,2014,7225,2020
1,Toyota,Highlander,2014,6769,2021
1,Toyota,Highlander,2014,5820,2022
1,Toyota,Highlander,2014,6023,2023
1,Toyota,Tacoma,2016,6396,2018
1,Toyota,Tacoma,2016,5941,2019
1,Toyota,Tacoma,2016,5764,2020
1,Toyota,Tacoma,2016,4660,2021
1,Toyota,Tacoma,2016,4714,2022
1,Toyota,Tacoma,2016,4212,2023
1,Toyota,Tacoma,2018,13551,2018
1,Toyota,Tacoma,2018,13648,2019
1,Toyota,Tacoma,2018,12391,2020
1,Toyota,Tacoma,2018,12066,2021
1,Toyota,Tacoma,2018,11589,2022
1,Toyota,Tacoma,2018,12163,2023
1,Toyota,Tacoma,2013,7423,2018
1,Toyota,Tacoma,2013,7012,2019
1,Toyota,Tacoma,2013,6884,2020
1,Toyota,Tacoma,2013,7238,2021
1,Toyota,Tacoma,2013,6098,2022
1,Toyota,Tacoma,2013,5457,2023
1,Honda,Civic,2013,7974,2018
1,Honda,Civic,2013,7814,2019
1,Honda,Civic,2013,6776,2020
1,Honda,Civic,2013,6571,2021
1,Honda,Civic,2013,6560,2022
1,Honda,Civic,2013,5328,2023
1,Honda,Civic,2017,7214,2018
1,Honda,Civic,2017,6808,2019
1,Honda,Civic,2017,6731,2020
1,Honda,Civic,2017,5489,2021
1,Honda,Civic,2017,5417,2022
1,Honda,Civic,2017,4919,2023
1,Honda,Civic,2015,12877,2018
1,Honda,Civic,2015,10892,2019
1,Honda,Civic,2015,11125,2020
1,Honda,Civic,2015,9657,2021
1,Honda,Civic,2015,9487,2022
1,Honda,Civic,2015,8227,2023
1,Honda,Accord,2023,18819,2023
1,Honda,Accord,2012,6619,2018
1,Honda,Accord,2012,6297,2019
1,Honda,Accord,2012,6658,2020
1,Honda,Accord,2012,5627,2021
1,Honda,Accord,2012,5109,2022
1,Honda,Accord,2012,5434,2023
1,Honda,Accord,2015,5706,2018
1,Honda,Accord,2015,5729,2019
1,Honda,Accord,2015,5346,2020
1,Honda,Accord,2015,4764,2021
1,Honda,Accord,2015,4503,2022
1,Honda,Accord,2015,3898,2023
1,Honda,CR-V,2012,4323,2018
1,Honda,CR-V,2012,4266,2019
1,Honda,CR-V,2012,4525,2020
1,Honda,CR-V,2012,3836,2021
1,Honda,CR-V,2012,3350,2022
1,Honda,CR-V,2012,3686,2023
1,Honda,CR-V,2020,13548,2020
1,Honda,CR-V,2020,13645,2021
1,Honda,CR-V,2020,12919,2022
1,Honda,CR-V,2020,12614,2023
1,Honda,CR-V,2017,13466,2018
1,Honda,CR-V,2017,12009,2019
1,Honda,CR-V,2017,12810,2020
1,Honda,CR-V,2017,12204,2021
1,Honda,CR-V,2017,11333,2022
1,Honda,CR-V,2017,10835,2023
1,Honda,Pilot,2011,1760,2018
1,Honda,Pilot,2011,1761,2019
1,Honda,Pilot,2011,1627,2020
1,Honda,Pilot,2011,1549,2021
1,Honda,Pilot,2011,1580,2022
1,Honda,Pilot,2011,1414,2023
1,Honda,Pilot,2016,9841,2018
1,Honda,Pilot,2016,8415,2019
1,Honda,Pilot,2016,7832,2020
1,Honda,Pilot,2016,8294,2021
1,Honda,Pilot,2016,7506,2022
1,Honda,Pilot,2016,6725,2023
1,Honda,Pilot,2021,14271,2021
1,Honda,Pilot,2021,16117,2022
1,Honda,Pilot,2021,14363,2023
1,Honda,Odyssey,2022,11123,2022
1,Honda,Odyssey,2022,11589,2023
1,Honda,Odyssey,2016,7887,2018
1,Honda,Odyssey,2016,7961,2019
1,Honda,Odyssey,2016,8118,2020
1,Honda,Odyssey,2016,7558,2021
1,Honda,Odyssey,2016,6292,2022
1,Honda,Odyssey,2016,6854,2023
1,Honda,Odyssey,2023,25469,2023
1,Ford,F-150,2010,3800,2018
1,Ford,F-150,2010,4109,2019
1,Ford,F-150,2010,3735,2020
1,Ford,F-150,2010,3517,2021
1,Ford,F-150,2010,3384,2022
1,Ford,F-150,2010,3312,2023
1,Ford,F-150,2018,6764,2018
1,Ford,F-150,2018,7167,2019
1,Ford,F-150,2018,7160,2020
1,Ford,F-150,2018,7034,2021
1,Ford,F-150,2018,5929,2022
1,Ford,F-150,2018,6112,2023
1,Ford,F-150,2019,18594,2019
1,Ford,F-150,2019,17450,2020
1,Ford,F-150,2019,17846,2021
1,Ford,F-150,2019,16516,2022
1,Ford,F-150,2019,15900,2023
1,Ford,Explorer,2012,4525,2018
1,Ford,Explorer,2012,4140,2019
1,Ford,Explorer,2012,4097,2020
1,Ford,Explorer,2012,3552,2021
1,Ford,Explorer,2012,3421,2022
1,Ford,Explorer,2012,3111,2023
1,Ford,Explorer,2015,11538,2018
1,Ford,Explorer,2015,11950,2019
1,Ford,Explorer,2015,10359,2020
1,Ford,Explorer,2015,9119,2021
1,Ford,Explorer,2015,9203,2022
1,Ford,Explorer,2015,8448,2023
1,Ford,Explorer,2020,19266,2020
1,Ford,Explorer,2020,19635,2021
1,Ford,Explorer,2020,17484,2022
1,Ford,Explorer,2020,16523,2023
1,Ford,Escape,2022,7865,2022
1,Ford,Escape,2022,7074,2023
1,Ford,Escape,2016,11859,2018
1,Ford,Escape,2016,9817,2019
1,Ford,Escape,2016,9496,2020
1,Ford,Escape,2016,9580,2021
1,Ford,Escape,2016,9156,2022
1,Ford,Escape,2016,7676,2023
1,Ford,Escape,2017,11628,2018
1,Ford,Escape,2017,12297,2019
1,Ford,Escape,2017,10339,2020
1,Ford,Escape,2017,10045,2021
1,Ford,Escape,2017,9145,2022
1,Ford,Escape,2017,9251,2023
1,Ford,Mustang,2018,7754,2018
1,Ford,Mustang,2018,7647,2019
1,Ford,Mustang,2018,7642,2020
1,Ford,Mustang,2018,7378,2021
1,Ford,Mustang,2018,6385,2022
1,Ford,Mustang,2018,6868,2023
1,Ford,Mustang,2019,5862,2019
1,Ford,Mustang,2019,5320,2020
1,Ford,Mustang,2019,5370,2021
1,Ford,Mustang,2019,5126,2022
1,Ford,Mustang,2019,4509,2023
1,Ford,Mustang,2012,8696,2018
1,Ford,Mustang,2012,7313,2019
1,Ford,Mustang,2012,6325,2020
1,Ford,Mustang,2012,6733,2021
1,Ford,Mustang,2012,6062,2022
1,Ford,Mustang,2012,6040,2023
1,Ford,Edge,2010,2771,2018
1,Ford,Edge,2010,2980,2019
1,Ford,Edge,2010,2341,2020
1,Ford,Edge,2010,2740,2021
1,Ford,Edge,2010,2720,2022
1,Ford,Edge,2010,2759,2023
1,Ford,Edge,2017,13706,2018
1,Ford,Edge,2017,12626,2019
1,Ford,Edge,2017,12171,2020
1,Ford,Edge,2017,10279,2021
1,Ford,Edge,2017,9997,2022
1,Ford,Edge,2017,9240,2023
1,Ford,Edge,2016,15514,2018
1,Ford,Edge,2016,12920,2019
1,Ford,Edge,2016,13041,2020
1,Ford,Edge,2016,13271,2021
1,Ford,Edge,2016,11071,2022
1,Ford,Edge,2016,10832,2023
1,Chevrolet,Silverado,2022,13411,2022
1,Chevrolet,Silverado,2022,12425,2023
1,Chevrolet,Silverado,2016,11266,2018
1,Chevrolet,Silverado,2016,9273,2019
1,Chevrolet,Silverado,2016,9772,2020
1,Chevrolet,Silverado,2016,9471,2021
1,Chevrolet,Silverado,2016,7792,2022
1,Chevrolet,Silverado,2016,7620,2023
1,Chevrolet,Silverado,2017,7441,2018
1,Chevrolet,Silverado,2017,6760,2019
1,Chevrolet,Silverado,2017,7011,2020
1,Chevrolet,Silverado,2017,5983,2021
1,Chevrolet,Silverado,2017,6572,2022
1,Chevrolet,Silverado,2017,5912,2023
1,Chevrolet,Equinox,2010,1778,2018
1,Chevrolet,Equinox,2010,1420,2019
1,Chevrolet,Equinox,2010,1429,2020
1,Chevrolet,Equinox,2010,1368,2021
1,Chevrolet,Equinox,2010,1444,2022
1,Chevrolet,Equinox,2010,1578,2023
1,Chevrolet,Equinox,2020,8034,2020
1,Chevrolet,Equinox,2020,8082,2021
1,Chevrolet,Equinox,2020,8396,2022
1,Chevrolet,Equinox,2020,7490,2023
1,Chevrolet,Equinox,2016,12843,2018
1,Chevrolet,Equinox,2016,12328,2019
1,Chevrolet,Equinox,2016,12045,2020
1,Chevrolet,Equinox,2016,11234,2021
1,Chevrolet,Equinox,2016,10624,2022
1,Chevrolet,Equinox,2016,11044,2023
1,Chevrolet,Malibu,2017,13661,2018
1,Chevrolet,Malibu,2017,14513,2019
1,Chevrolet,Malibu,2017,14126,2020
1,Chevrolet,Malibu,2017,11736,2021
1,Chevrolet,Malibu,2017,12175,2022
1,Chevrolet,Malibu,2017,11774,2023
1,Chevrolet,Malibu,2015,9664,2018
1,Chevrolet,Malibu,2015,9419,2019
1,Chevrolet,Malibu,2015,9039,2020
1,Chevrolet,Malibu,2015,8750,2021
1,Chevrolet,Malibu,2015,7494,2022
1,Chevrolet,Malibu,2015,7661,2023
1,Chevrolet,Malibu,2014,5028,2018
1,Chevrolet,Malibu,2014,4681,2019
1,Chevrolet,Malibu,2014,4082,2020
1,Chevrolet,Malibu,2014,4050,2021
1,Chevrolet,Malibu,2014,3263,2022
1,Chevrolet,Malibu,2014,3643,2023
1,Chevrolet,Traverse,2013,6299,2018
1,Chevrolet,Traverse,2013,6098,2019
1,Chevrolet,Traverse,2013,5694,2020
1,Chevrolet,Traverse,2013,5277,2021
1,Chevrolet,Traverse,2013,5016,2022
1,Chevrolet,Traverse,2013,4853,2023
1,Chevrolet,Traverse,2016,6695,2018
1,Chevrolet,Traverse,2016,6869,2019
1,Chevrolet,Traverse,2016,5522,2020
1,Chevrolet,Traverse,2016,5898,2021
1,Chevrolet,Traverse,2016,5309,2022
1,Chevrolet,Traverse,2016,5129,2023
1,Chevrolet,Traverse,2019,15997,2019
1,Chevrolet,Traverse,2019,14367,2020
1,Chevrolet,Traverse,2019,16086,2021
1,Chevrolet,Traverse,2019,13609,2022
1,Chevrolet,Traverse,2019,12814,2023
1,Chevrolet,Tahoe,2018,16776,2018
1,Chevrolet,Tahoe,2018,16016,2019
1,Chevrolet,Tahoe,2018,14947,2020
1,Chevrolet,Tahoe,2018,12909,2021
1,Chevrolet,Tahoe,2018,12384,2022
1,Chevrolet,Tahoe,2018,11184,2023
1,Chevrolet,Tahoe,2012,4865,2018
1,Chevrolet,Tahoe,2012,4813,2019
1,Chevrolet,Tahoe,2012,3913,2020
1,Chevrolet,Tahoe,2012,4108,2021
1,Chevrolet,Tahoe,2012,3915,2022
1,Chevrolet,Tahoe,2012,3444,2023
1,Chevrolet,Tahoe,2017,15542,2018
1,Chevrolet,Tahoe,2017,14580,2019
1,Chevrolet,Tahoe,2017,13301,2020
1,Chevrolet,Tahoe,2017,14630,2021
1,Chevrolet,Tahoe,2017,12568,2022
1,Chevrolet,Tahoe,2017,12647,2023
1,Nissan,Altima,2019,7437,2019
1,Nissan,Altima,2019,7535,2020
1,Nissan,Altima,2019,6750,2021
1,Nissan,Altima,2019,6915,2022
1,Nissan,Altima,2019,6168,2023
1,Nissan,Altima,2020,12689,2020
1,Nissan,Altima,2020,11536,2021
1,Nissan,Altima,2020,11481,2022
1,Nissan,Altima,2020,10888,2023
1,Nissan,Altima,2014,3997,2018
1,Nissan,Altima,2014,3342,2019
1,Nissan,Altima,2014,3315,2020
1,Nissan,Altima,2014,3030,2021
1,Nissan,Altima,2014,2740,2022
1,Nissan,Altima,2014,2819,2023
1,Nissan,Rogue,2018,15994,2018
1,Nissan,Rogue,2018,16282,2019
1,Nissan,Rogue,2018,14256,2020
1,Nissan,Rogue,2018,13463,2021
1,Nissan,Rogue,2018,14455,2022
1,Nissan,Rogue,2018,12198,2023
1,Nissan,Rogue,2023,20256,2023
1,Nissan,Rogue,2016,11698,2018
1,Nissan,Rogue,2016,12998,2019
1,Nissan,Rogue,2016,11477,2020
1,Nissan,Rogue,2016,11317,2021
1,Nissan,Rogue,2016,10887,2022
1,Nissan,Rogue,2016,9251,2023
1,Nissan,Sentra,2015,5423,2018
1,Nissan,Sentra,2015,4981,2019
1,Nissan,Sentra,2015,4164,2020
1,Nissan,Sentra,2015,4000,2021
1,Nissan,Sentra,2015,3889,2022
1,Nissan,Sentra,2015,3413,2023
1,Nissan,Sentra,2016,9907,2018
1,Nissan,Sentra,2016,10206,2019
1,Nissan,Sentra,2016,9857,2020
1,Nissan,Sentra,2016,8158,2021
1,Nissan,Sentra,2016,8033,2022
1,Nissan,Sentra,2016,7962,2023
1,Nissan,Sentra,2017,5723,2018
1,Nissan,Sentra,2017,6072,2019
1,Nissan,Sentra,2017,6024,2020
1,Nissan,Sentra,2017,5382,2021
1,Nissan,Sentra,2017,4758,2022
1,Nissan,Sentra,2017,5088,2023
1,Nissan,Pathfinder,2011,4625,2018
1,Nissan,Pathfinder,2011,4474,2019
1,Nissan,Pathfinder,2011,4473,2020
1,Nissan,Pathfinder,2011,3774,2021
1,Nissan,Pathfinder,2011,4380,2022
1,Nissan,Pathfinder,2011,4164,2023
1,Nissan,Pathfinder,2014,10226,2018
1,Nissan,Pathfinder,2014,10200,2019
1,Nissan,Pathfinder,2014,9127,2020
1,Nissan,Pathfinder,2014,8646,2021
1,Nissan,Pathfinder,2014,9045,2022
1,Nissan,Pathfinder,2014,7493,2023
1,Nissan,Pathfinder,2013,5543,2018
1,Nissan,Pathfinder,2013,4960,2019
1,Nissan,Pathfinder,2013,4826,2020
1,Nissan,Pathfinder,2013,5026,2021
1,Nissan,Pathfinder,2013,4321,2022
1,Nissan,Pathfinder,2013,4347,2023
1,Nissan,Frontier,2010,3112,2018
1,Nissan,Frontier,2010,2677,2019
1,Nissan,Frontier,2010,2500,2020
1,Nissan,Frontier,2010,2847,2021
1,Nissan,Frontier,2010,2617,2022
1,Nissan,Frontier,2010,2633,2023
1,Nissan,Frontier,2012,4693,2018
1,Nissan,Frontier,2012,4578,2019
1,Nissan,Frontier,2012,3833,2020
1,Nissan,Frontier,2012,4124,2021
1,Nissan,Frontier,2012,3406,2022
1,Nissan,Frontier,2012,3339,2023
1,Nissan,Frontier,2015,10482,2018
1,Nissan,Frontier,2015,10375,2019
1,Nissan,Frontier,2015,9502,2020
1,Nissan,Frontier,2015,9074,2021
1,Nissan,Frontier,2015,9728,2022
1,Nissan,Frontier,2015,8587,2023
1,BMW,3 Series,2014,3031,2018
1,BMW,3 Series,2014,3113,2019
1,BMW,3 Series,2014,3112,2020
1,BMW,3 Series,2014,2437,2021
1,BMW,3 Series,2014,2367,2022
1,BMW,3 Series,2014,2505,2023
1,BMW,3 Series,2023,7370,2023
1,BMW,3 Series,2016,3794,2018
1,BMW,3 Series,2016,3269,2019
1,BMW,3 Series,2016,3538,2020
1,BMW,3 Series,2016,3418,2021
1,BMW,3 Series,2016,2801,2022
1,BMW,3 Series,2016,2929,2023
1,BMW,5 Series,2013,2758,2018
1,BMW,5 Series,2013,2826,2019
1,BMW,5 Series,2013,2754,2020
1,BMW,5 Series,2013,2391,2021
1,BMW,5 Series,2013,2159,2022
1,BMW,5 Series,2013,1965,2023
1,BMW,5 Series,2023,5617,2023
1,BMW,5 Series,2015,9524,2018
1,BMW,5 Series,2015,7922,2019
1,BMW,5 Series,2015,8286,2020
1,BMW,5 Series,2015,7182,2021
1,BMW,5 Series,2015,7337,2022
1,BMW,5 Series,2015,6891,2023
1,BMW,X3,2015,9040,2018
1,BMW,X3,2015,8295,2019
1,BMW,X3,2015,8035,2020
1,BMW,X3,2015,6769,2021
1,BMW,X3,2015,6676,2022
1,BMW,X3,2015,6396,2023
1,BMW,X3,2016,9844,2018
1,BMW,X3,2016,11107,2019
1,BMW,X3,2016,10502,2020
1,BMW,X3,2016,9792,2021
1,BMW,X3,2016,9256,2022
1,BMW,X3,2016,7848,2023
1,BMW,X3,2014,6420,2018
1,BMW,X3,2014,5913,2019
1,BMW,X3,2014,6438,2020
1,BMW,X3,2014,5741,2021
1,BMW,X3,2014,5413,2022
1,BMW,X3,2014,5261,2023
1,BMW,X5,2019,6424,2019
1,BMW,X5,2019,6088,2020
1,BMW,X5,2019,6245,2021
1,BMW,X5,2019,5562,2022
1,BMW,X5,2019,5651,2023
1,BMW,X5,2021,7044,2021
1,BMW,X5,2021,6648,2022
1,BMW,X5,2021,6310,2023
1,BMW,X5,2014,3922,2018
1,BMW,X5,2014,4039,2019
1,BMW,X5,2014,3767,2020
1,BMW,X5,2014,3646,2021
1,BMW,X5,2014,3130,2022
1,BMW,X5,2014,3239,2023
1,BMW,7 Series,2023,6173,2023
1,BMW,7 Series,2016,11608,2018
1,BMW,7 Series,2016,9459,2019
1,BMW,7 Series,2016,9405,2020
1,BMW,7 Series,2016,8613,2021
1,BMW,7 Series,2016,9497,2022
1,BMW,7 Series,2016,8825,2023
1,BMW,7 Series,2020,8470,2020
1,BMW,7 Series,2020,7427,2021
1,BMW,7 Series,2020,6843,2022
1,BMW,7 Series,2020,7254,2023
1,Mercedes,C-Class,2019,16685,2019
1,Mercedes,C-Class,2019,13902,2020
1,Mercedes,C-Class,2019,15419,2021
1,Mercedes,C-Class,2019,14229,2022
1,Mercedes,C-Class,2019,12527,2023
1,Mercedes,C-Class,2021,9046,2021
1,Mercedes,C-Class,2021,7358,2022
1,Mercedes,C-Class,2021,8058,2023
1,Mercedes,C-Class,2020,9485,2020
1,Mercedes,C-Class,2020,8585,2021
1,Mercedes,C-Class,2020,8785,2022
1,Mercedes,C-Class,2020,8161,2023
1,Mercedes,E-Class,2010,5023,2018
1,Mercedes,E-Class,2010,4129,2019
1,Mercedes,E-Class,2010,4057,2020
1,Mercedes,E-Class,2010,3942,2021
1,Mercedes,E-Class,2010,3783,2022
1,Mercedes,E-Class,2010,4187,2023
1,Mercedes,E-Class,2021,18158,2021
1,Mercedes,E-Class,2021,17297,2022
1,Mercedes,E-Class,2021,18020,2023
1,Mercedes,E-Class,2016,4958,2018
1,Mercedes,E-Class,2016,4903,2019
1,Mercedes,E-Class,2016,4300,2020
1,Mercedes,E-Class,2016,4050,2021
1,Mercedes,E-Class,2016,4246,2022
1,Mercedes,E-Class,2016,3649,2023
1,Mercedes,GLC,2014,3783,2018
1,Mercedes,GLC,2014,3852,2019
1,Mercedes,GLC,2014,2995,2020
1,Mercedes,GLC,2014,3157,2021
1,Mercedes,GLC,2014,2969,2022
1,Mercedes,GLC,2014,2844,2023
1,Mercedes,GLC,2015,6421,2018
1,Mercedes,GLC,2015,6380,2019
1,Mercedes,GLC,2015,5985,2020
1,Mercedes,GLC,2015,5693,2021
1,Mercedes,GLC,2015,4873,2022
1,Mercedes,GLC,2015,4792,2023
1,Mercedes,GLC,2022,16307,2022
1,Mercedes,GLC,2022,15640,2023
1,Mercedes,GLE,2010,3293,2018
1,Mercedes,GLE,2010,3605,2019
1,Mercedes,GLE,2010,2766,2020
1,Mercedes,GLE,2010,3290,2021
1,Mercedes,GLE,2010,2860,2022
1,Mercedes,GLE,2010,3142,2023
1,Mercedes,GLE,2022,12978,2022
1,Mercedes,GLE,2022,12335,2023
1,Mercedes,GLE,2012,4862,2018
1,Mercedes,GLE,2012,4961,2019
1,Mercedes,GLE,2012,3894,2020
1,Mercedes,GLE,2012,3554,2021
1,Mercedes,GLE,2012,3707,2022
1,Mercedes,GLE,2012,3592,2023
1,Mercedes,S-Class,2018,9079,2018
1,Mercedes,S-Class,2018,7933,2019
1,Mercedes,S-Class,2018,6996,2020
1,Mercedes,S-Class,2018,7930,2021
1,Mercedes,S-Class,2018,7115,2022
1,Mercedes,S-Class,2018,6444,2023
1,Mercedes,S-Class,2014,2543,2018
1,Mercedes,S-Class,2014,2558,2019
1,Mercedes,S-Class,2014,2407,2020
1,Mercedes,S-Class,2014,2348,2021
1,Mercedes,S-Class,2014,2182,2022
1,Mercedes,S-Class,2014,1844,2023
1,Mercedes,S-Class,2010,2503,2018
1,Mercedes,S-Class,2010,2396,2019
1,Mercedes,S-Class,2010,2101,2020
1,Mercedes,S-Class,2010,2251,2021
1,Mercedes,S-Class,2010,2529,2022
1,Mercedes,S-Class,2010,2457,2023
1,Audi,A4,2016,6426,2018
1,Audi,A4,2016,5933,2019
1,Audi,A4,2016,5196,2020
1,Audi,A4,2016,5889,2021
1,Audi,A4,2016,5020,2022
1,Audi,A4,2016,4739,2023
1,Audi,A4,2023,7192,2023
1,Audi,A4,2013,3015,2018
1,Audi,A4,2013,3156,2019
1,Audi,A4,2013,2805,2020
1,Audi,A4,2013,2386,2021
1,Audi,A4,2013,2618,2022
1,Audi,A4,2013,2284,2023
1,Audi,Q5,2023,6805,2023
1,Audi,Q5,2015,7524,2018
1,Audi,Q5,2015,7663,2019
1,Audi,Q5,2015,7175,2020
1,Audi,Q5,2015,6357,2021
1,Audi,Q5,2015,6700,2022
1,Audi,Q5,2015,6059,2023
1,Audi,Q5,2021,15806,2021
1,Audi,Q5,2021,14419,2022
1,Audi,Q5,2021,12252,2023
1,Audi,A6,2013,3313,2018
1,Audi,A6,2013,3432,2019
1,Audi,A6,2013,2789,2020
1,Audi,A6,2013,2667,2021
1,Audi,A6,2013,2496,2022
1,Audi,A6,2013,2305,2023
1,Audi,A6,2011,3794,2018
1,Audi,A6,2011,3699,2019
1,Audi,A6,2011,3631,2020
1,Audi,A6,2011,3234,2021
1,Audi,A6,2011,3263,2022
1,Audi,A6,2011,3426,2023
1,Audi,A6,2015,7167,2018
1,Audi,A6,2015,7418,2019
1,Audi,A6,2015,6596,2020
1,Audi,A6,2015,5525,2021
1,Audi,A6,2015,5230,2022
1,Audi,A6,2015,5106,2023
1,Audi,Q7,2017,7768,2018
1,Audi,Q7,2017,8613,2019
1,Audi,Q7,2017,7967,2020
1,Audi,Q7,2017,7295,2021
1,Audi,Q7,2017,7580,2022
1,Audi,Q7,2017,6262,2023
1,Audi,Q7,2023,16878,2023
1,Audi,Q7,2022,8156,2022
1,Audi,Q7,2022,7898,2023
1,Audi,A3,2014,4885,2018
1,Audi,A3,2014,4767,2019
1,Audi,A3,2014,4096,2020
1,Audi,A3,2014,3983,2021
1,Audi,A3,2014,4269,2022
1,Audi,A3,2014,3564,2023
1,Audi,A3,2011,1525,2018
1,Audi,A3,2011,1335,2019
1,Audi,A3,2011,1295,2020
1,Audi,A3,2011,1212,2021
1,Audi,A3,2011,1191,2022
1,Audi,A3,2011,1071,2023
1,Audi,A3,2015,6441,2018
1,Audi,A3,2015,6656,2019
1,Audi,A3,2015,6189,2020
1,Audi,A3,2015,5814,2021
1,Audi,A3,2015,5140,2022
1,Audi,A3,2015,5310,2023
1,Kia,Sorento,2023,13087,2023
1,Kia,Sorento,2018,15081,2018
1,Kia,Sorento,2018,16220,2019
1,Kia,Sorento,2018,16415,2020
1,Kia,Sorento,2018,13198,2021
1,Kia,Sorento,2018,13303,2022
1,Kia,Sorento,2018,12292,2023
1,Kia,Sorento,2016,5030,2018
1,Kia,Sorento,2016,5004,2019
1,Kia,Sorento,2016,4594,2020
1,Kia,Sorento,2016,3912,2021
1,Kia,Sorento,2016,4034,2022
1,Kia,Sorento,2016,3879,2023
1,Kia,Soul,2022,23908,2022
1,Kia,Soul,2022,22347,2023
1,Kia,Soul,2016,11962,2018
1,Kia,Soul,2016,10671,2019
1,Kia,Soul,2016,11602,2020
1,Kia,Soul,2016,10621,2021
1,Kia,Soul,2016,8916,2022
1,Kia,Soul,2016,9517,2023
1,Kia,Soul,2019,18156,2019
1,Kia,Soul,2019,20539,2020
1,Kia,Soul,2019,17870,2021
1,Kia,Soul,2019,17433,2022
1,Kia,Soul,2019,16840,2023
1,Kia,Forte,2013,10454,2018
1,Kia,Forte,2013,9688,2019
1,Kia,Forte,2013,9827,2020
1,Kia,Forte,2013,8392,2021
1,Kia,Forte,2013,7719,2022
1,Kia,Forte,2013,7401,2023
1,Kia,Forte,2010,3410,2018
1,Kia,Forte,2010,2903,2019
1,Kia,Forte,2010,3013,2020
1,Kia,Forte,2010,3140,2021
1,Kia,Forte,2010,2800,2022
1,Kia,Forte,2010,2932,2023
1,Kia,Forte,2023,7156,2023
1,Kia,Sportage,2018,15132,2018
1,Kia,Sportage,2018,15407,2019
1,Kia,Sportage,2018,14425,2020
1,Kia,Sportage,2018,13185,2021
1,Kia,Sportage,2018,13050,2022
1,Kia,Sportage,2018,12471,2023
1,Kia,Sportage,2010,4505,2018
1,Kia,Sportage,2010,4702,2019
1,Kia,Sportage,2010,4276,2020
1,Kia,Sportage,2010,4046,2021
1,Kia,Sportage,2010,3712,2022
1,Kia,Sportage,2010,4338,2023
1,Kia,Sportage,2012,2292,2018
1,Kia,Sportage,2012,2302,2019
1,Kia,Sportage,2012,2228,2020
1,Kia,Sportage,2012,2186,2021
1,Kia,Sportage,2012,1983,2022
1,Kia,Sportage,2012,2022,2023
1,Kia,Telluride,2012,8890,2018
1,Kia,Telluride,2012,8215,2019
1,Kia,Telluride,2012,7683,2020
1,Kia,Telluride,2012,7222,2021
1,Kia,Telluride,2012,5551,2022
1,Kia,Telluride,2012,5903,2023
1,Kia,Telluride,2011,5547,2018
1,Kia,Telluride,2011,5597,2019
1,Kia,Telluride,2011,4815,2020
1,Kia,Telluride,2011,3973,2021
1,Kia,Telluride,2011,4052,2022
1,Kia,Telluride,2011,4691,2023
1,Kia,Telluride,2010,3618,2018
